,Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
173,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-09,159.0,2024-04-09,159.0,2.0,4.6
174,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-11,0.0,2024-04-11,0.0,,4.6
175,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-12,10.0,2024-04-12,10.0,,4.6
176,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-14,38.0,2024-04-14,38.0,,4.6
177,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-15,9.0,2024-04-15,9.0,,4.6
178,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-18,0.0,2024-04-18,39.16,1.0,4.6
179,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-19,10.0,2024-04-19,10.0,,4.6
180,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-21,50.42,2024-04-21,50.42,,4.6
181,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-23,30.52,2024-04-23,30.52,1.0,4.6
182,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-25,22.19,2024-04-25,22.19,,4.6
183,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,2024-04-26,9.0,2024-04-26,9.0,,4.6
184,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5007СА70,ГТС Выборг,В целевой структуре парка,,,2024-04-28,10.09,,4.6
186,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-01,92.0,,5.9
187,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-02,69.0,,5.9
188,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-03,1136.0,4.0,5.9
189,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-04,105.0,,5.9
190,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-05,65.0,,5.9
191,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-10,98.42,,5.9
192,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-12,76.0,1.0,5.9
193,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-15,103.61,,5.9
194,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-20,85.64,,5.9
195,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-23,7.46,,5.9
196,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-26,97.0,,5.9
197,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-27,93.0,,5.9
198,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-28,52.0,,5.9
199,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5610СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-29,423.0,,5.9
201,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9065СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-01,8.0,2024-04-01,8.0,,2.3
202,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9065СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-05,18.15,2024-04-05,18.15,1.0,2.3
203,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9065СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-10,29.75,2024-04-10,29.75,2.0,2.3
204,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9065СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-18,10.0,2024-04-18,10.0,,2.3
205,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9065СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-20,32.0,2024-04-20,32.0,,2.3
206,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9065СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-25,45.0,2024-04-25,45.0,4.0,2.3
207,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,9065СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-30,6.1,2024-04-30,6.1,,2.3
208,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,5609СА70,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,0.0,,0.0,0.0,0.0
209,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0376ТА69,ГТС Выборг,В целевой структуре парка,,0.0,,0.0,0.0,0.0
211,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4036ТА69,ГТС Выборг,В целевой структуре парка,2024-04-06,3.0,2024-04-06,103.28,1.0,5.2
212,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4036ТА69,ГТС Выборг,В целевой структуре парка,2024-04-08,18.15,2024-04-08,18.2,,5.2
213,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4036ТА69,ГТС Выборг,В целевой структуре парка,2024-04-12,19.41,2024-04-12,19.41,,5.2
214,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4036ТА69,ГТС Выборг,В целевой структуре парка,2024-04-19,10.34,2024-04-19,10.34,1.0,5.2
215,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4036ТА69,ГТС Выборг,В целевой структуре парка,2024-04-25,32.0,2024-04-25,32.0,,5.2
216,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4036ТА69,ГТС Выборг,В целевой структуре парка,2024-04-26,47.0,2024-04-26,78.96,1.0,5.2
217,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,4036ТА69,ГТС Выборг,В целевой структуре парка,2024-04-30,8.1,2024-04-30,37.31,1.0,5.2
219,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,2024-04-01,7.0,2024-04-01,10.0,,4.5
220,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,2024-04-13,3.15,2024-04-08,17.0,,4.5
221,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,2024-04-17,12.85,2024-04-11,32.0,1.0,4.5
222,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,2024-04-12,6.0,,4.5
223,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,2024-04-13,3.15,,4.5
224,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,2024-04-16,31.0,,4.5
225,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,2024-04-17,15.0,,4.5
226,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,2024-04-18,55.0,1.0,4.5
227,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,2024-04-21,60.0,,4.5
228,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,2024-04-24,71.0,1.0,4.5
229,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,2024-04-25,82.0,2.0,4.5
230,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,2024-04-26,131.0,3.0,4.5
231,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6909РВ70,ГТС Выборг,В целевой структуре парка,,,2024-04-27,0.0,,4.5
234,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0060РХ70,ГТС Выборг,В целевой структуре парка,2024-04-01,31.25,2024-04-01,31.25,,5.8
235,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0060РХ70,ГТС Выборг,В целевой структуре парка,2024-04-01,101.0,2024-04-01,98.15,2.0,5.8
236,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0060РХ70,ГТС Выборг,В целевой структуре парка,2024-04-03,102.0,2024-04-03,95.63,3.0,5.8
237,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0060РХ70,ГТС Выборг,В целевой структуре парка,2024-04-10,17.86,2024-04-10,2.36,,5.8
238,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0060РХ70,ГТС Выборг,В целевой структуре парка,2024-04-18,7.0,2024-04-18,7.0,,5.8
239,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0060РХ70,ГТС Выборг,В целевой структуре парка,2024-04-26,8.0,2024-04-26,8.0,,5.8
240,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0060РХ70,ГТС Выборг,В целевой структуре парка,2024-04-28,55.56,2024-04-28,56.51,1.0,5.8
241,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0060РХ70,ГТС Выборг,В целевой структуре парка,2024-04-29,15.58,2024-04-29,15.56,1.0,5.8
242,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0060РХ70,ГТС Выборг,В целевой структуре парка,2024-04-30,11.75,2024-04-30,11.75,,5.8
244,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-01,65.36,2024-04-01,286.0,4.0,5.3
245,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-11,49.0,2024-04-11,49.0,,5.3
246,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-12,6.0,2024-04-12,6.0,,5.3
247,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-15,5.0,2024-04-15,5.0,,5.3
248,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-18,28.0,2024-04-18,28.0,,5.3
249,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-19,139.25,2024-04-19,268.0,1.0,5.3
250,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-20,7.0,2024-04-20,7.0,,5.3
251,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-23,54.0,2024-04-23,54.0,,5.3
252,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-24,14.0,2024-04-24,14.0,,5.3
253,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-25,22.0,2024-04-25,22.0,,5.3
254,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-28,15.69,2024-04-26,355.0,3.0,5.3
255,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-30,46.0,2024-04-27,26.0,,5.3
256,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-28,15.69,,5.3
257,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6333ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,,,2024-04-30,46.0,2.0,5.3
259,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,2024-04-15,9.0,2024-04-01,291.0,2.0,6.0
260,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,2024-04-22,3.0,2024-04-14,412.26,,6.0
261,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,2024-04-25,22.0,2024-04-15,9.0,,6.0
262,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,2024-04-27,33.0,2024-04-22,3.0,,6.0
263,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,2024-04-29,43.0,2024-04-25,22.0,,6.0
264,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,2024-04-27,33.0,,6.0
265,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,2024-04-29,43.0,,6.0
266,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,,,,6.0
267,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,,,,6.0
268,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,,,,6.0
269,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0690РХ70,ГТС Выборг,В целевой структуре парка,,,,,,6.0
271,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6334ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-01,30.53,2024-04-01,30.53,2.0,4.2
272,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,6334ТА69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-03,8.0,2024-04-03,8.0,,4.2
